age,race,gender,employment,education,married,person_living_in_house,salary,house_type,house_value,vehicle,house_rental_fee,house_loan_pmt,transport_use,transport_spending,public_transport_spending,house_utility,food_spending,kids_spending,personal_loan,education_loan,other_loan,investment
56,Skrull,M,Employed,High School,Yes,4,1K to 2K,Own house - double storey terrace,Below 100K,Asia brand car,0,400,Own transport,100,0,85,200,600,0,0,200,0
55,Kree,F,Unemployed,High School,Yes,5,Less than 1K,Own house - kampung / wooden house,Below 100K,Motorcycle,,0,Own transport,200,,50,300,0,,,,
64,Kree,F,Government retiree,Diploma,Yes,3,1K to 2K,Own house - one storey terrace,Below 100K,Local brand car,0,0,Own transport,200,0,200,300,300,0,0,0,0
28,Kree,F,Unemployed,High School,No,4,Less than 1K,Own house - kampung / wooden house,Below 100K,Did not own any vehicle,0,0,,0,0,100,500,0,0,0,0,0
60,Sapiens,M,Self-employed,Bachelor's Degree,Yes,3,8K to 9K,Own house - one storey terrace,200K to 300K,Asia brand car,0,0,Own transport,700,0,500,3000,0,0,0,0,0
29,Sapiens,F,Employed,Diploma,Yes,3,5K to 6K,Parent's house,Below 100K,Did not own any vehicle,,0,Own transport,0,,100,500,800,,,,
34,Skrull,F,Unemployed,Diploma,Yes,7,,Parent's house,,Local brand car,1000,0,Own transport,700,0,500,800,900,0,0,0,0
71,Sapiens,F,Unemployed,High School,Yes,2,Less than 1K,Parent's house,,Did not own any vehicle,0,0,,0,0,0,0,0,0,0,0,0
80,Sapiens,M,Unemployed,High School,Yes,2,Less than 1K,Rental house - kampung / wooden house,,Did not own any vehicle,200,0,,0,0,0,500,0,0,0,0,0
69,Skrull,F,Unemployed,High School,Yes,1,Less than 1K,Own house - kampung / wooden house,,Motorcycle,0,0,,30,0,100,300,0,0,0,0,0
67,Kree,F,Unemployed,High School,Yes,1,Less than 1K,Own house - one storey terrace,Below 100K,Did not own any vehicle,0,0,,0,0,100,400,0,0,0,0,0
61,Sapiens,F,Unemployed,High School,Yes,10 or more,Less than 1K,Own house - one storey terrace,200K to 300K,Local brand car,0,1000,Own transport,200,0,400,1000,0,0,0,0,0
26,Kree,M,Employed,Bachelor's Degree,No,1,1K to 2K,Parent's house,,Local brand car,0,0,Own transport,700,0,250,300,0,0,300,0,0
54,Sapiens,M,Self-employed,High School,Yes,3,4K to 5K,Own house - flat,Below 100K,Local brand car,0,0,,1000,0,600,1000,300,600,0,0,0
63,Skrull,M,Employed,High School,Yes,4,2K to 3K,Own house - one storey terrace,100K to 200K,Local brand car,0,1000,Own transport,150,0,300,500,0,0,0,0,0
72,Sapiens,M,Self-employed,High School,Divorcee,1,1K to 2K,Parent's house,,Did not own any vehicle,0,0,,0,0,0,2000,0,0,0,0,0
33,Kree,M,Self-employed,Bachelor's Degree,No,10 or more,Less than 1K,Parent's house,,Motorcycle,0,0,Own transport,200,0,500,0,0,0,100,0,0
40,Kree,M,Unemployed,High School,Yes,6,Less than 1K,Own house - kampung / wooden house,Below 100K,Did not own any vehicle,0,0,,0,0,30,400,40,0,0,0,0
61,Sapiens,M,Employed,Diploma,Yes,3,5K to 6K,Own house - double storey terrace,700K to 800K,Asia brand car,0,2900,Own transport,2000,0,600,1000,7500,0,0,0,0
61,Kree,F,Unemployed,High School,Yes,5,1K to 2K,Parent's house,,Local brand car,0,0,Own transport,100,,400,500,60,0,0,0,0
64,Kree,F,Private sector retiree,Bachelor's Degree,Yes,2,Less than 1K,Own house - flat,300K to 400K,Local brand car,0,0,Own transport,200,0,200,400,150,0,0,0,0
62,Sapiens,M,Self-employed,High School,Yes,3,Less than 1K,Parent's house,,Local brand car,0,0,Own transport,250,0,300,3500,400,0,0,0,0
62,Skrull,M,Private sector retiree,High School,Yes,2,Less than 1K,Own house - one storey terrace,Below 100K,Motorcycle,0,0,Own transport,70,0,200,400,0,0,0,0,0
60,Skrull,F,Employed,High School,Yes,7,Less than 1K,Parent's house,,Did not own any vehicle,0,0,Public transport,0,80,70,600,0,0,0,0,0
68,Sapiens,M,Government retiree,Bachelor's Degree,Yes,2,Less than 1K,Own house - one storey terrace,Below 100K,Local brand car,,0,Own transport,300,,100,400,0,,,,
40,Kree,F,Employed,High School,Yes,5,3K to 4K,Rental house - single storey,,Did not own any vehicle,350,0,,0,0,100,300,300,1200,0,0,130
63,Kree,M,Government retiree,High School,Yes,5,Less than 1K,Own house - kampung / wooden house,100K to 200K,Local brand car,,0,Own transport,70,,300,500,0,,,,
34,Sapiens,M,Self-employed,Bachelor's Degree,No,6,5K to 6K,Own house - one storey terrace,400K to 500K,Asia brand car,0,1500,Own transport,400,0,500,1000,500,0,0,200,0
63,Skrull,F,Unemployed,High School,Divorcee,2,Less than 1K,Rental house - flat,,,400,0,,0,0,150,300,0,0,0,0,0
36,Kree,F,Unemployed,High School,Yes,5,2K to 3K,Rental house - single storey,,Local brand car,300,0,Own transport,0,0,300,400,200,0,0,0,0
35,Kree,F,Employed,Bachelor's Degree,Yes,5,10K or more,Parent's house,,Asia brand car,0,0,Own transport,2500,,2000,3000,5000,1500,0,0,0
70,Kree,F,Unemployed,High School,Yes,3,Less than 1K,Own house - kampung / wooden house,Below 100K,Motorcycle,0,0,,0,0,0,0,0,0,0,0,0
51,Kree,M,Employed,High School,Yes,5,2K to 3K,Rental house - flat,,Did not own any vehicle,600,0,Public transport,0,600,200,500,300,0,0,0,0
57,Kree,F,Unemployed,High School,Yes,4,2K to 3K,Own house - kampung / wooden house,Below 100K,Local brand car,0,0,Own transport,0,0,0,1000,0,0,0,0,0
42,Sapiens,M,Employed,Diploma,Yes,6,4K to 5K,Own house - one storey terrace,100K to 200K,Local brand car,0,0,Own transport,300,0,500,0,0,0,0,800,0
46,Sapiens,M,Employed,High School,Yes,4,4K to 5K,Own house - one storey terrace,Below 100K,Local brand car,0,500,Own transport,1200,0,300,1000,600,0,0,0,0
70,Skrull,M,Employed,High School,Yes,5,1K to 2K,Own house - kampung / wooden house,Below 100K,,0,0,,0,50,200,600,0,0,0,0,0
66,Sapiens,M,Employed,High School,Yes,2,Less than 1K,Parent's house,,Did not own any vehicle,0,0,,0,0,200,500,0,0,0,0,0
30,Sapiens,M,Employed,Bachelor's Degree,No,1,2K to 3K,Own house - one storey terrace,,Local brand car,0,600,Own transport,600,0,100,800,200,0,200,0,0
53,Sapiens,M,Employed,High School,Yes,4,4K to 5K,Own house - one storey terrace,Below 100K,Asia brand car,0,1100,Own transport,1300,0,2000,1500,1000,0,0,0,0
34,Skrull,F,Unemployed,Bachelor's Degree,Yes,4,10K or more,Parent's house,600K to 700K,Asia brand car,,2000,Own transport,1800,,500,1000,2000,,,3500,
56,Skrull,M,Employed,High School,Yes,4,3K to 4K,Own house - condominiums,300K to 400K,Did not own any vehicle,700,0,,0,0,1000,1000,200,0,0,0,0
60,Sapiens,M,Self-employed,High School,Yes,4,4K to 5K,Parent's house,,Asia brand car,0,0,Own transport,800,0,400,2000,0,0,0,0,0
36,Kree,F,Unemployed,High School,Yes,7,Less than 1K,Own house - kampung / wooden house,Below 100K,Did not own any vehicle,0,0,Public transport,0,10,300,200,250,0,0,0,0
50,Kree,F,Unemployed,High School,No,2,Less than 1K,Own house - kampung / wooden house,Below 100K,Did not own any vehicle,0,0,,0,60,150,300,0,0,0,0,0
24,Sapiens,F,Employed,Diploma,Yes,5,8K to 9K,Own house - one storey terrace,100K to 200K,Asia brand car,0,0,Own transport,1500,0,500,3000,1000,0,0,0,0
28,Kree,M,Employed,Bachelor's Degree,No,4,4K to 5K,Parent's house,400K to 500K,Europe brand car,0,0,Own transport,400,0,350,400,0,0,0,0,0
70,Kree,F,Unemployed,High School,Divorcee,1,Less than 1K,Own house - kampung / wooden house,Below 100K,Did not own any vehicle,0,0,Public transport,0,30,200,200,0,0,0,0,0
65,Sapiens,M,Employed,High School,No,2,1K to 2K,Own house - one storey terrace,Below 100K,Asia brand car,,0,Own transport,300,,5,200,0,,,,
64,Skrull,F,Employed,High School,Yes,3,Less than 1K,Parent's house,,Did not own any vehicle,0,0,,0,0,200,700,0,0,0,0,0
64,Skrull,F,Unemployed,High School,Yes,3,Less than 1K,Rental house - single storey,,Did not own any vehicle,500,0,Public transport,0,50,50,300,0,0,0,0,0
55,Skrull,M,Self-employed,High School,Yes,4,2K to 3K,Own house - one storey terrace,Below 100K,Asia brand car,0,250,Own transport,500,0,300,1000,0,0,0,0,0
58,Sapiens,M,Unemployed,High School,Yes,6,1K to 2K,Own house - bungalows,200K to 300K,Local brand car,0,1000,Own transport,300,0,400,900,0,0,0,0,0
32,Sapiens,F,Unemployed,High School,Yes,4,5K to 6K,Own house - double storey terrace,300K to 400K,Asia brand car,0,1000,Own transport,1000,0,400,600,1000,0,0,0,0
69,Kree,M,Unemployed,High School,Yes,2,Less than 1K,Own house - bungalows,100K to 200K,Local brand car,0,0,Own transport,500,0,150,1000,100,0,0,0,0
31,Kree,F,Unemployed,High School,Yes,2,2K to 3K,Rental house - single storey,,Local brand car,300,0,Own transport,300,0,500,150,0,0,0,0,0
44,Sapiens,F,Employed,Bachelor's Degree,No,3,5K to 6K,Parent's house,,Asia brand car,0,0,Own transport,2000,0,300,1000,0,0,0,0,0
33,Sapiens,F,Employed,High School,Yes,3,2K to 3K,Own house - one storey terrace,Below 100K,Local brand car,0,800,Own transport,200,0,400,1000,300,0,0,0,0
78,Kree,F,Unemployed,High School,Yes,1,Less than 1K,Parent's house,,Did not own any vehicle,0,0,,0,0,0,100,0,0,0,0,0
32,Kree,F,Unemployed,Certificates,Yes,3,Less than 1K,Rental house - flat,,Local brand car,300,0,Own transport,650,0,350,150,0,0,0,600,0
53,Skrull,F,Unemployed,High School,Yes,4,Less than 1K,Own house - flat,200K to 300K,Motorcycle,0,500,Own transport,30,0,120,600,0,0,0,0,0
46,Kree,M,Employed,High School,Yes,5,2K to 3K,Parent's house,,Local brand car,0,0,Own transport,450,,100,600,150,0,0,0,0
55,Skrull,F,Unemployed,High School,Yes,5,Less than 1K,Parent's house,Below 100K,Did not own any vehicle,,0,Public transport,,100,30,100,0,,,,
25,Kree,F,Unemployed,Bachelor's Degree,No,8,Less than 1K,Parent's house,Below 100K,Local brand car,0,0,Own transport,250,0,0,0,0,0,0,0,0
32,Kree,F,Employed,Certificates,Yes,5,5K to 6K,Own house - condominiums,300K to 400K,Asia brand car,0,1300,Own transport,700,0,300,800,2000,0,0,0,537
44,Kree,M,Employed,High School,Yes,4,2K to 3K,Own house - kampung / wooden house,100K to 200K,Local brand car,0,330,Own transport,500,0,200,600,300,0,0,0,0
55,Skrull,F,Self-employed,High School,Yes,6,Less than 1K,Own house - double storey terrace,Below 100K,Did not own any vehicle,0,0,,0,0,200,0,0,0,0,0,0
28,Skrull,F,Employed,Diploma,No,5,3K to 4K,Parent's house,,Did not own any vehicle,0,0,Public transport,0,200,700,300,0,0,150,0,0
37,Kree,F,Self-employed,High School,Yes,7,1K to 2K,Parent's house,,Local brand car,0,0,Own transport,200,0,300,300,300,0,0,0,0
70,Skrull,M,Self-employed,High School,Yes,3,2K to 3K,Own house - kampung / wooden house,Below 100K,Local brand car,0,0,Own transport,300,,300,2000,0,0,0,0,0
55,Sapiens,F,Employed,High School,Yes,5,7K to 8K,Parent's house,,Europe brand car,0,0,Own transport,300,0,600,4000,0,0,0,0,0
50,Others,M,Self-employed,High School,Yes,7,1K to 2K,Parent's house,,Local brand car,0,0,Own transport,200,0,100,1000,300,0,0,0,0
65,Kree,F,Unemployed,High School,Yes,3,1K to 2K,Own house - kampung / wooden house,Below 100K,Asia brand car,0,0,Own transport,400,0,200,2500,,0,0,0,0
50,Kree,F,Unemployed,High School,No,4,Less than 1K,Rental house - flat,,Did not own any vehicle,355,0,,0,0,100,200,0,0,0,0,0
49,Kree,M,Employed,High School,Yes,4,4K to 5K,Rental house - flat,,Local brand car,550,,Own transport,200,,300,500,750,0,0,0,0
67,Kree,F,Unemployed,High School,Yes,3,Less than 1K,Parent's house,,Did not own any vehicle,0,0,,0,0,250,0,0,0,0,0,0
52,Sapiens,M,Employed,Diploma,Yes,4,5K to 6K,Own house - one storey terrace,100K to 200K,Asia brand car,0,0,Own transport,350,0,300,800,1000,0,0,0,0
62,Others,M,Unemployed,High School,Yes,3,Less than 1K,Own house - kampung / wooden house,Below 100K,Did not own any vehicle,0,0,,0,0,50,200,0,0,0,0,0
26,Sapiens,M,Employed,High School,No,3,1K to 2K,Parent's house,,Motorcycle,0,0,Own transport,200,0,0,200,0,0,0,0,0
54,Kree,M,Self-employed,High School,Yes,4,Less than 1K,Own house - kampung / wooden house,Below 100K,Motorcycle,0,0,Own transport,100,0,200,500,500,0,0,0,0
41,Skrull,M,Employed,High School,Yes,4,2K to 3K,Parent's house,,Motorcycle,0,0,Own transport,300,0,300,800,450,0,0,0,0
64,Skrull,F,Others,High School,Yes,4,Less than 1K,Own house - one storey terrace,Below 100K,Local brand car,0,0,Own transport,300,,250,300,0,0,0,0,0
61,Skrull,F,Unemployed,High School,Yes,2,1K to 2K,Rental house - flat,100K to 200K,Local brand car,0,0,Own transport,300,0,300,500,0,0,0,0,0
31,Others,F,Employed,Bachelor's Degree,No,9,3K to 4K,Parent's house,,Local brand car,0,0,Own transport,1000,0,300,300,0,2000,0,0,0
64,Sapiens,M,Unemployed,High School,Divorcee,3,Less than 1K,Parent's house,,Motorcycle,0,0,Own transport,60,0,0,0,0,0,0,0,0
49,Kree,F,Employed,Bachelor's Degree,Yes,6,10K or more,Own house - bungalows,400K to 500K,Local brand car,900,0,Own transport,1600,0,500,3000,3000,0,0,0,800
32,Kree,F,Unemployed,High School,No,2,Less than 1K,Parent's house,,Did not own any vehicle,0,0,Public transport,0,60,100,500,0,0,0,0,0
29,Sapiens,F,Unemployed,High School,Yes,8,2K to 3K,Parent's house,Below 100K,Did not own any vehicle,0,0,,0,0,0,300,120,0,0,0,0
31,Kree,F,Employed,Diploma,Yes,2,2K to 3K,Own house - kampung / wooden house,100K to 200K,Local brand car,0,0,Own transport,700,0,500,1000,0,0,0,0,0
34,Sapiens,M,Employed,High School,No,3,2K to 3K,Rental house - single storey,,Did not own any vehicle,600,0,,0,0,400,1000,0,0,0,0,0
81,Sapiens,M,Private sector retiree,High School,Yes,2,Less than 1K,Parent's house,,Did not own any vehicle,700,0,Public transport,0,100,0,1000,0,0,0,0,0
50,Sapiens,M,Employed,High School,Yes,6,5K to 6K,Own house - double storey terrace,Below 100K,Asia brand car,0,0,Own transport,350,0,300,500,500,0,0,0,0
63,Kree,F,Unemployed,High School,Divorcee,10 or more,Less than 1K,Parent's house,,Motorcycle,0,0,,0,0,100,300,0,0,0,0,0
71,Kree,F,Unemployed,High School,Yes,3,1K to 2K,Own house - kampung / wooden house,Below 100K,Asia brand car,,,Own transport,100,,100,300,0,,,,
26,Kree,F,Unemployed,Bachelor's Degree,No,3,,Parent's house,,Did not own any vehicle,0,0,Public transport,0,200,0,0,0,0,2600,0,0
66,Kree,F,Unemployed,High School,Divorcee,4,Less than 1K,Rental house - flat,,Did not own any vehicle,0,0,,0,0,0,200,0,0,0,0,0
26,Skrull,F,Unemployed,Bachelor's Degree,No,8,1K to 2K,Parent's house,,Did not own any vehicle,0,0,Public transport,,150,250,500,500,0,0,0,0
69,Skrull,M,Unemployed,High School,Yes,7,Less than 1K,Parent's house,,Local brand car,0,0,,0,0,100,0,0,0,0,0,0
62,Skrull,F,Unemployed,High School,Yes,3,Less than 1K,Own house - double storey terrace,Below 100K,Did not own any vehicle,0,0,,0,0,150,1000,0,0,0,0,0
32,Kree,F,Self-employed,Diploma,No,8,2K to 3K,Parent's house,,Local brand car,0,0,Own transport & Public transport,400,100,600,1000,0,0,0,0,0
26,Skrull,F,Employed,Bachelor's Degree,No,5,1K to 2K,Parent's house,,Asia brand car,0,0,Own transport,700,0,0,300,0,0,0,0,0
40,Kree,F,Unemployed,High School,Yes,4,,Own house - flat,200K to 300K,Local brand car,0,400,Own transport,400,0,0,0,0,0,0,0,0
63,Skrull,F,Self-employed,High School,Yes,5,Less than 1K,Own house - one storey terrace,100K to 200K,Did not own any vehicle,0,1100,Own transport,200,0,600,1000,0,0,0,0,0
35,Sapiens,F,Employed,Certificates,Yes,4,7K to 8K,Own house - double storey terrace,Below 100K,Local brand car,0,1000,Own transport,800,0,200,200,1000,0,0,0,0
28,Kree,M,Employed,High School,Yes,3,2K to 3K,Rental house - kampung / wooden house,,Local brand car,600,0,Own transport,700,0,100,500,0,0,0,0,0
27,Kree,F,Employed,Certificates,No,1,1K to 2K,Parent's house,,Motorcycle,0,0,Own transport,100,0,100,350,0,0,0,0,190
65,Skrull,M,Unemployed,High School,Yes,4,Less than 1K,Own house - one storey terrace,Below 100K,Local brand car,0,0,Own transport & Public transport,500,100,200,600,100,0,0,0,0
30,Kree,M,Employed,High School,Yes,3,2K to 3K,Rental house - kampung / wooden house,,Local brand car,350,,Own transport,450,,140,600,100,,,,
52,Kree,M,Employed,High School,Yes,4,1K to 2K,Own house - kampung / wooden house,100K to 200K,Motorcycle,0,0,Own transport,200,0,200,700,0,0,0,0,0
55,Sapiens,M,Employed,High School,Yes,4,1K to 2K,Own house - kampung / wooden house,Below 100K,Local brand car,,0,Own transport,450,,100,1000,0,,,400,
36,Kree,M,Employed,Bachelor's Degree,Yes,4,7K to 8K,Own house - one storey terrace,200K to 300K,Local brand car,,1000,Own transport,700,,200,500,500,,200,,
33,Kree,M,Employed,High School,Yes,5,3K to 4K,Rental house - condominiums,,Local brand car,600,0,Own transport,1300,0,300,500,600,0,0,0,0
63,Kree,F,Unemployed,High School,Divorcee,10 or more,Less than 1K,Parent's house,,Did not own any vehicle,0,0,,0,0,0,0,0,0,0,0,0
33,Kree,F,Employed,High School,Yes,6,3K to 4K,Own house - one storey terrace,Below 100K,Local brand car,0,0,Own transport,700,0,200,500,400,0,0,0,0
24,Kree,F,Employed,Bachelor's Degree,No,1,2K to 3K,Rental house - condominiums,,Did not own any vehicle,300,0,Public transport,0,150,800,400,0,0,0,0,0
42,Sapiens,F,Unemployed,High School,Yes,7,Less than 1K,Parent's house,Below 100K,Did not own any vehicle,0,0,,0,0,300,0,50,0,0,0,0
30,Kree,F,Employed,High School,Yes,9,Less than 1K,Own house - kampung / wooden house,,Motorcycle,0,0,Own transport,70,0,150,800,300,0,0,0,0
30,Sapiens,F,Employed,Bachelor's Degree,No,1,5K to 6K,Parent's house,,Asia brand car,0,0,Own transport,200,0,200,800,0,0,0,0,0
51,Kree,F,Self-employed,High School,Yes,4,Less than 1K,Own house - kampung / wooden house,Below 100K,Motorcycle,0,0,Own transport,100,0,200,300,500,0,0,0,0
49,Sapiens,F,Employed,Bachelor's Degree,No,1,10K or more,Own house - condominiums,More than 1M,Did not own any vehicle,0,3800,Public transport,0,0,300,300,0,0,0,0,0
30,Sapiens,F,Employed,Bachelor's Degree,Yes,10 or more,4K to 5K,Rental house - double storey terrace,200K to 300K,Local brand car,0,650,Own transport,500,0,600,400,1000,0,0,0,0
30,Skrull,F,Employed,Certificates,Yes,2,2K to 3K,Rental house - single storey,,Motorcycle,400,0,Own transport & Public transport,100,200,300,600,0,300,0,0,0
54,Kree,M,Self-employed,High School,Yes,5,2K to 3K,Own house - kampung / wooden house,100K to 200K,Asia brand car,,500,,300,0,1000,500,400,0,0,0,0
37,Kree,M,Self-employed,High School,Yes,4,Less than 1K,Rental house - flat,Below 100K,Did not own any vehicle,47,0,,0,0,50,400,150,200,0,0,0
33,Kree,M,Employed,Bachelor's Degree,Yes,4,3K to 4K,Rental house - single storey,,Asia brand car,500,0,Own transport,600,0,500,1000,200,2200,0,0,0
71,Skrull,M,Government retiree,High School,Yes,7,Less than 1K,Parent's house,,Local brand car,0,0,Own transport,300,0,500,1000,0,0,0,0,0
53,Kree,F,Employed,High School,Yes,2,1K to 2K,Own house - double storey terrace,Below 100K,Did not own any vehicle,0,0,,0,0,80,300,0,0,0,0,0
47,Kree,F,Unemployed,High School,Yes,7,1K to 2K,Own house - kampung / wooden house,Below 100K,Europe brand car,0,0,Own transport,0,,0,0,0,0,0,0,0
49,Kree,M,Unemployed,High School,Yes,7,Less than 1K,Rental house - flat,,Local brand car,550,,Own transport,600,,150,500,600,0,0,0,0
24,Kree,F,Unemployed,Bachelor's Degree,No,9,,Parent's house,,Did not own any vehicle,0,0,,0,0,0,0,0,0,15000,0,0
56,Sapiens,F,Employed,High School,Yes,3,Less than 1K,Own house - kampung / wooden house,Below 100K,Local brand car,0,0,Own transport,100,,100,600,0,0,0,0,0
29,Skrull,M,Employed,Certificates,No,5,1K to 2K,Parent's house,,Did not own any vehicle,,,Own transport,350,,600,700,0,0,0,164,0
30,Kree,F,Employed,Diploma,Yes,3,5K to 6K,Parent's house,,Local brand car,400,0,Own transport,700,0,150,500,2000,0,100,0,0
26,Sapiens,F,Employed,High School,No,6,2K to 3K,Parent's house,200K to 300K,Asia brand car,0,0,Own transport,200,0,0,300,0,0,0,0,0
78,Sapiens,M,Unemployed,High School,Yes,3,Less than 1K,Own house - one storey terrace,100K to 200K,Local brand car,0,0,,200,0,200,400,0,0,0,0,0
57,Kree,M,Government retiree,High School,Yes,5,Less than 1K,Parent's house,,Motorcycle,0,0,Own transport,30,0,400,400,0,0,0,0,0
25,Sapiens,F,Employed,High School,No,6,1K to 2K,Parent's house,,Asia brand car,0,0,Own transport,600,0,300,100,300,0,0,0,0
